project_id,project_name,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,actual_delay_months,actual_cost_overrun_percentage,final_status,primary_delay_cause,intervention_taken,intervention_outcome
HIST-00379,Bihar Container Yard Development - Phase 3,Ports,Bihar,38.3,39.4,62,17,27.8,37.0,18,0,0,0,0,0,-4.1,1,3.0,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00380,Uttar Pradesh Runway Expansion Project - Phase 2,Airports,Uttar Pradesh,87.8,88.4,35,60,92.8,92.2,9,0,0,1,0,0,5.0,1,0.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00381,Tamil Nadu Solar Power Park - Phase 2,Power,Tamil Nadu,234.4,247.0,60,88,98.5,90.1,15,0,0,1,0,0,4.2,0,6.4,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00382,Maharashtra State Highway Upgradation - Phase 1,Roads,Maharashtra,234.7,250.1,73,56,75.0,58.4,16,0,0,0,1,0,-6.6,0,6.4,Completed with Cost Overrun,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00383,Gujarat Rail Line Doubling - Phase 3,Railways,Gujarat,317.9,342.8,59,89,96.9,97.7,15,0,0,0,1,0,-1.4,2,7.1,Delayed,Funding release,Additional Funding Approval,No Significant Improvement
HIST-00384,Telangana Solar Power Park - Phase 2,Power,Telangana,198.3,209.8,38,30,79.0,69.1,10,1,0,0,0,0,0.4,1,4.5,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00385,Maharashtra Solar Power Park - Phase 1,Power,Maharashtra,216.9,232.8,43,22,44.6,47.3,8,1,1,0,0,0,0.8,7,4.9,Under Review,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00386,Gujarat Railway Electrification Project - Phase 2,Railways,Gujarat,125.0,125.0,42,24,68.7,61.9,12,0,1,0,0,0,-1.0,1,1.1,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00387,Jharkhand State Highway Upgradation - Phase 1,Roads,Jharkhand,454.3,460.5,15,12,78.6,77.5,4,1,1,0,0,0,-6.2,0,1.2,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00388,Madhya Pradesh Sewerage Network Upgrade - Phase 3,Urban Development,Madhya Pradesh,81.3,89.5,64,67,100.0,87.6,19,2,0,1,1,0,-2.7,1,7.7,Completed with Cost Overrun,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00389,Uttar Pradesh State Highway Upgradation - Phase 3,Roads,Uttar Pradesh,624.9,694.4,29,52,88.4,90.9,6,2,0,0,1,0,5.8,2,9.8,Delayed,Milestone slippage,Additional Funding Approval,No Significant Improvement
HIST-00390,Bihar Irrigation Canal Modernisation - Phase 2,Water Resources,Bihar,418.7,420.9,18,81,100.0,97.7,5,1,1,0,0,0,5.2,3,0.0,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00391,Jharkhand Port Connectivity Corridor - Phase 2,Ports,Jharkhand,355.0,388.7,17,78,100.0,100.0,4,0,1,0,0,0,2.9,8,9.8,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00392,Andhra Pradesh National Highway Widening - Phase 3,Roads,Andhra Pradesh,105.9,105.9,33,78,99.5,90.0,8,0,0,0,0,0,4.6,1,0.6,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00393,Maharashtra Ring Road Development - Phase 2,Roads,Maharashtra,165.0,194.5,39,62,100.0,98.1,8,0,1,1,1,0,2.4,6,16.9,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00394,Jharkhand Smart City Development - Phase 1,Urban Development,Jharkhand,528.1,564.7,43,89,100.0,94.8,9,0,0,0,1,0,8.3,0,7.8,Completed with Cost Overrun,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00395,Uttar Pradesh Container Yard Development - Phase 2,Ports,Uttar Pradesh,173.3,174.4,14,38,91.9,93.1,4,0,0,0,0,0,1.4,1,0.9,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00396,West Bengal Transmission Line Augmentation - Phase 1,Power,West Bengal,45.9,47.2,15,45,100.0,100.0,4,0,0,0,0,0,0.5,1,0.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00397,Jharkhand Dam Rehabilitation Project - Phase 2,Water Resources,Jharkhand,346.5,363.2,45,35,65.7,67.4,9,1,1,0,0,0,1.0,1,5.2,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00398,Uttar Pradesh River Interlinking Scheme - Phase 2,Water Resources,Uttar Pradesh,132.9,144.7,20,47,100.0,100.0,8,1,1,0,0,0,7.9,4,3.2,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00399,Madhya Pradesh Port Connectivity Corridor - Phase 2,Ports,Madhya Pradesh,69.3,84.4,18,40,89.8,88.8,5,2,1,1,0,1,2.2,10,21.4,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00400,Madhya Pradesh National Highway Widening - Phase 1,Roads,Madhya Pradesh,111.9,113.8,52,38,70.5,75.9,14,0,0,0,0,0,-4.0,0,1.9,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00401,Kerala Transmission Line Augmentation - Phase 3,Power,Kerala,116.9,122.4,47,20,37.6,29.6,14,2,0,0,0,1,-4.1,0,3.8,Completed,No material delay,Contractor Replacement,Successful
HIST-00402,Maharashtra Airport Terminal Development - Phase 1,Airports,Maharashtra,134.1,140.7,60,7,1.7,17.0,17,0,0,0,1,0,6.7,1,5.8,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00403,Maharashtra State Highway Upgradation - Phase 3,Roads,Maharashtra,93.8,93.8,49,72,100.0,92.4,15,1,0,0,0,0,4.8,4,0.0,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00404,Kerala Ring Road Development - Phase 2,Roads,Kerala,276.0,283.0,31,29,100.0,97.5,6,0,1,0,0,0,-8.2,0,1.8,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00405,Kerala Water Supply Augmentation - Phase 2,Water Resources,Kerala,138.0,148.8,14,18,89.9,93.4,4,1,0,0,1,0,8.3,0,4.0,Completed,No material delay,Additional Funding Approval,Successful
HIST-00406,Telangana Freight Corridor Development - Phase 2,Railways,Telangana,892.0,934.3,30,83,100.0,98.4,7,0,1,0,0,0,5.9,3,2.8,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00407,Andhra Pradesh Port Connectivity Corridor - Phase 3,Ports,Andhra Pradesh,218.2,218.7,61,88,100.0,100.0,17,0,0,0,0,0,-5.8,0,0.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00408,Andhra Pradesh Transmission Line Augmentation - Phase 3,Power,Andhra Pradesh,366.3,366.3,68,50,70.3,65.7,19,1,0,0,0,0,0.9,0,0.0,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00409,West Bengal Water Supply Augmentation - Phase 1,Water Resources,West Bengal,54.3,60.4,41,89,97.5,98.4,14,3,0,1,0,0,9.9,7,11.2,Delayed,Milestone slippage,Milestone Restructuring,Partially Successful
HIST-00410,Telangana Sewerage Network Upgrade - Phase 3,Urban Development,Telangana,597.4,603.9,31,22,62.4,72.9,10,0,0,0,0,0,5.5,0,0.8,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00411,Uttar Pradesh Expressway Corridor - Phase 3,Roads,Uttar Pradesh,41.0,49.6,59,76,82.4,95.7,13,2,1,1,1,0,9.9,9,21.5,Delayed,Land acquisition,No Major Intervention,Not Applicable
HIST-00412,Telangana Solar Power Park - Phase 3,Power,Telangana,138.6,141.1,33,12,35.9,52.6,7,0,0,0,0,0,-4.8,0,1.3,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00413,Odisha Metro Rail Extension - Phase 1,Railways,Odisha,1478.5,1710.7,46,28,47.8,49.0,10,2,1,1,1,0,1.2,5,7.1,Under Review,Land acquisition,Land Acquisition Task Force,Successful
HIST-00414,Uttar Pradesh State Highway Upgradation - Phase 3,Roads,Uttar Pradesh,312.6,317.7,45,49,100.0,100.0,10,0,0,0,0,0,5.0,4,0.6,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00415,Bihar Irrigation Canal Modernisation - Phase 2,Water Resources,Bihar,172.2,193.9,32,69,100.0,100.0,8,0,1,0,0,1,8.1,0,6.5,Completed with Cost Overrun,No material delay,Contractor Replacement,Successful
HIST-00416,Haryana Port Connectivity Corridor - Phase 1,Ports,Haryana,54.0,54.5,35,44,100.0,100.0,12,0,0,0,0,0,2.6,1,2.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00417,Telangana Irrigation Canal Modernisation - Phase 3,Water Resources,Telangana,507.2,535.3,43,31,73.9,83.9,6,2,0,0,0,1,-1.4,0,5.4,Under Review,No material delay,Contractor Replacement,Partially Successful
HIST-00418,Tamil Nadu Expressway Corridor - Phase 2,Roads,Tamil Nadu,163.4,170.4,32,56,93.1,96.7,5,1,0,1,0,0,0.5,1,4.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00419,Maharashtra Airport Terminal Development - Phase 1,Airports,Maharashtra,599.2,624.6,66,37,52.2,38.5,18,0,0,0,0,0,-5.6,0,4.4,Under Review,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00420,Karnataka Runway Expansion Project - Phase 1,Airports,Karnataka,543.3,562.5,37,82,100.0,94.3,11,0,0,0,0,1,1.8,0,3.1,Completed,No material delay,Contractor Replacement,No Significant Improvement
HIST-00421,West Bengal River Interlinking Scheme - Phase 2,Water Resources,West Bengal,74.8,79.9,35,71,100.0,100.0,10,0,0,0,0,0,8.1,0,6.0,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00422,Madhya Pradesh Freight Corridor Development - Phase 2,Railways,Madhya Pradesh,108.8,111.7,42,9,13.7,36.3,12,1,0,0,0,0,2.9,1,1.4,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00423,Karnataka Water Supply Augmentation - Phase 2,Water Resources,Karnataka,2423.5,2547.1,30,13,44.1,36.7,7,0,1,0,0,0,-1.6,1,4.9,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00424,Maharashtra Irrigation Canal Modernisation - Phase 2,Water Resources,Maharashtra,419.1,440.1,56,7,17.0,29.8,16,1,1,1,0,0,-4.1,6,5.6,Under Review,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00425,Andhra Pradesh National Highway Widening - Phase 3,Roads,Andhra Pradesh,190.7,216.6,40,84,100.0,92.8,12,0,1,1,0,0,3.5,4,8.1,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00426,West Bengal Affordable Housing Scheme - Phase 3,Urban Development,West Bengal,209.8,213.6,21,8,46.5,40.5,6,1,0,0,0,0,5.7,1,1.7,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00427,Karnataka Ring Road Development - Phase 2,Roads,Karnataka,577.6,608.0,41,37,79.4,83.1,9,2,0,0,0,0,6.4,1,4.5,Completed,No material delay,Land Acquisition Task Force,No Significant Improvement
HIST-00428,Haryana Airport Terminal Development - Phase 3,Airports,Haryana,373.5,389.4,39,73,100.0,97.1,13,0,0,0,0,0,-3.4,1,4.9,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00429,Rajasthan River Interlinking Scheme - Phase 1,Water Resources,Rajasthan,911.6,912.8,57,89,96.7,94.6,10,0,0,0,0,0,1.3,0,0.0,Completed,No material delay,Milestone Restructuring,Partially Successful
HIST-00430,Haryana Railway Electrification Project - Phase 1,Railways,Haryana,97.2,102.1,52,36,68.8,83.5,11,1,0,1,0,0,5.1,8,3.9,Delayed,Pending clearance,Inter-Department Coordination,Partially Successful
HIST-00431,West Bengal Runway Expansion Project - Phase 3,Airports,West Bengal,128.4,147.9,28,82,89.0,74.9,10,1,1,0,0,0,-8.5,3,4.9,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00432,Odisha Water Supply Augmentation - Phase 2,Water Resources,Odisha,386.9,407.9,28,62,100.0,93.7,9,0,0,0,0,0,-2.1,6,5.3,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00433,Tamil Nadu Sewerage Network Upgrade - Phase 1,Urban Development,Tamil Nadu,481.0,481.3,52,47,91.7,75.9,13,1,0,0,0,0,5.6,0,0.5,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00434,Maharashtra Ring Road Development - Phase 1,Roads,Maharashtra,185.0,203.6,37,36,100.0,97.1,10,2,1,0,0,1,3.5,0,6.4,Under Review,No material delay,Contractor Replacement,Successful
HIST-00435,Maharashtra Freight Corridor Development - Phase 3,Railways,Maharashtra,1130.3,1313.8,41,89,88.3,85.5,11,1,0,0,1,0,11.7,6,15.1,Delayed,Funding release,Additional Funding Approval,No Significant Improvement
HIST-00436,Haryana Urban Renewal Mission - Phase 2,Urban Development,Haryana,273.2,281.1,38,27,68.3,78.4,11,1,0,0,0,0,5.7,1,2.2,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00437,Madhya Pradesh Metro Rail Extension - Phase 1,Railways,Madhya Pradesh,87.5,88.9,46,44,92.1,79.8,12,0,0,0,0,1,-1.3,0,2.5,Completed,No material delay,Contractor Replacement,No Significant Improvement
HIST-00438,Karnataka Transmission Line Augmentation - Phase 2,Power,Karnataka,506.0,516.1,41,11,10.2,15.0,6,0,0,0,0,0,-3.6,1,1.9,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00439,West Bengal Airport Terminal Development - Phase 1,Airports,West Bengal,102.1,106.4,43,30,81.0,88.9,9,0,1,0,0,0,-8.6,2,1.7,Under Review,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00440,Kerala Thermal Power Plant Modernisation - Phase 3,Power,Kerala,186.9,186.9,37,23,62.4,70.2,8,1,0,0,0,0,-3.2,1,0.0,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00441,Bihar State Highway Upgradation - Phase 2,Roads,Bihar,68.7,76.8,35,19,66.6,60.6,9,2,1,0,0,0,10.5,4,4.8,Under Review,Land acquisition,Land Acquisition Task Force,Successful
HIST-00442,Andhra Pradesh Container Yard Development - Phase 1,Ports,Andhra Pradesh,243.3,270.9,50,29,50.2,58.7,13,4,0,0,0,1,8.3,9,11.6,Under Review,Milestone slippage,Contractor Replacement,No Significant Improvement
HIST-00443,Madhya Pradesh Metro Rail Extension - Phase 3,Railways,Madhya Pradesh,447.0,461.5,46,57,100.0,100.0,11,0,1,0,0,0,7.0,1,1.8,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00444,Karnataka State Highway Upgradation - Phase 3,Roads,Karnataka,239.0,250.9,42,21,57.1,65.4,8,0,0,0,0,0,0.0,0,7.4,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00445,Maharashtra Smart City Development - Phase 1,Urban Development,Maharashtra,242.4,251.7,47,49,98.8,88.1,13,2,0,1,0,0,2.6,0,4.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00446,Telangana Urban Renewal Mission - Phase 2,Urban Development,Telangana,88.6,92.5,40,6,19.2,21.4,7,0,0,1,0,0,2.0,0,4.1,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00447,Madhya Pradesh Container Yard Development - Phase 1,Ports,Madhya Pradesh,516.6,549.8,32,8,40.2,45.2,11,1,0,0,0,0,3.4,0,6.0,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00448,Rajasthan Rail Line Doubling - Phase 2,Railways,Rajasthan,195.1,214.2,27,84,100.0,89.9,12,0,1,0,0,0,10.6,8,10.0,Delayed,Land acquisition,Land Acquisition Task Force,No Significant Improvement
HIST-00449,Telangana Sewerage Network Upgrade - Phase 1,Urban Development,Telangana,248.2,287.3,28,17,67.8,66.0,6,2,1,0,0,1,12.3,0,13.5,Completed with Cost Overrun,No material delay,Contractor Replacement,Partially Successful
HIST-00450,Andhra Pradesh Ring Road Development - Phase 3,Roads,Andhra Pradesh,1323.9,1359.8,25,68,100.0,95.6,9,0,0,0,0,0,-1.0,1,2.2,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00451,Andhra Pradesh Rail Line Doubling - Phase 3,Railways,Andhra Pradesh,203.2,242.9,28,84,98.7,87.7,7,0,1,1,1,1,5.6,0,17.5,Completed with Cost Overrun,No material delay,Additional Funding Approval,No Significant Improvement
HIST-00452,Gujarat Irrigation Canal Modernisation - Phase 3,Water Resources,Gujarat,2006.8,2167.5,44,75,100.0,77.8,15,2,0,0,0,1,10.4,1,5.8,Completed with Cost Overrun,No material delay,Contractor Replacement,Successful
HIST-00453,Maharashtra Port Terminal Expansion - Phase 2,Ports,Maharashtra,334.6,344.0,38,33,91.4,100.0,11,0,0,0,0,0,8.2,0,1.4,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00454,Gujarat Substation Capacity Expansion - Phase 1,Power,Gujarat,481.7,497.4,43,30,51.7,65.1,11,2,0,0,0,0,13.7,0,2.2,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00455,Odisha Urban Renewal Mission - Phase 3,Urban Development,Odisha,217.2,231.4,31,52,93.8,95.9,11,0,1,0,0,1,-2.4,4,5.3,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00456,Uttar Pradesh Water Supply Augmentation - Phase 2,Water Resources,Uttar Pradesh,213.4,218.3,52,37,73.2,76.3,14,0,0,0,0,1,-6.7,0,3.3,Completed,No material delay,Contractor Replacement,Partially Successful
HIST-00457,Maharashtra Freight Corridor Development - Phase 2,Railways,Maharashtra,185.2,185.9,41,70,100.0,100.0,7,0,0,1,0,0,0.4,6,1.7,Delayed,Pending clearance,Inter-Department Coordination,No Significant Improvement
HIST-00458,West Bengal Container Yard Development - Phase 1,Ports,West Bengal,321.7,337.3,42,82,100.0,94.8,12,0,1,0,0,0,2.7,1,2.3,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00459,Madhya Pradesh Dam Rehabilitation Project - Phase 2,Water Resources,Madhya Pradesh,658.6,659.9,42,30,64.7,65.2,12,0,0,1,0,0,4.1,1,0.0,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00460,Karnataka Railway Electrification Project - Phase 2,Railways,Karnataka,444.0,458.7,14,8,43.4,55.9,5,0,1,0,0,0,1.9,0,4.3,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00461,Haryana Freight Corridor Development - Phase 2,Railways,Haryana,290.4,311.7,66,28,44.8,58.4,14,1,0,0,0,0,7.8,0,7.1,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00462,Uttar Pradesh Railway Electrification Project - Phase 3,Railways,Uttar Pradesh,618.8,659.3,42,10,26.6,18.4,6,0,1,0,0,0,-0.5,0,7.2,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00463,Karnataka State Highway Upgradation - Phase 3,Roads,Karnataka,85.9,92.2,32,20,72.3,59.5,11,1,0,0,0,0,9.2,5,8.3,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00464,Andhra Pradesh Expressway Corridor - Phase 1,Roads,Andhra Pradesh,146.4,150.4,37,68,100.0,99.1,11,0,0,0,0,0,10.0,1,1.9,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00465,Karnataka Port Connectivity Corridor - Phase 1,Ports,Karnataka,102.5,108.2,22,53,94.4,82.5,7,0,1,1,0,0,-2.0,4,2.2,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00466,Gujarat Water Supply Augmentation - Phase 3,Water Resources,Gujarat,563.5,579.3,21,17,77.3,80.9,4,0,0,0,0,0,1.7,1,3.4,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00467,Kerala Smart City Development - Phase 1,Urban Development,Kerala,178.3,185.7,30,75,100.0,93.8,6,0,0,0,0,0,-2.4,4,4.1,Delayed,Other execution delay,No Major Intervention,Not Applicable
HIST-00468,Jharkhand Water Supply Augmentation - Phase 2,Water Resources,Jharkhand,279.8,314.0,46,84,92.5,82.2,12,0,0,0,1,0,4.5,2,7.9,Delayed,Funding release,Additional Funding Approval,Successful
HIST-00469,West Bengal National Highway Widening - Phase 3,Roads,West Bengal,325.5,330.1,28,70,100.0,82.5,7,0,0,1,0,0,-1.3,0,0.8,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00470,Madhya Pradesh Ring Road Development - Phase 3,Roads,Madhya Pradesh,162.2,165.0,51,70,100.0,99.8,11,0,0,0,0,0,-5.9,1,1.2,Completed,No material delay,Contractor Replacement,Partially Successful
HIST-00471,Andhra Pradesh Port Connectivity Corridor - Phase 1,Ports,Andhra Pradesh,342.1,360.4,44,40,97.1,100.0,13,0,1,0,0,0,1.9,1,4.3,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00472,Bihar Affordable Housing Scheme - Phase 1,Urban Development,Bihar,199.9,230.1,12,75,100.0,81.3,4,1,1,1,0,0,-0.1,7,13.4,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00473,Bihar Metro Rail Extension - Phase 2,Railways,Bihar,532.8,624.1,40,68,100.0,100.0,14,2,0,1,1,0,6.4,7,17.9,Delayed,Milestone slippage,Additional Funding Approval,No Significant Improvement
HIST-00474,West Bengal Rail Line Doubling - Phase 3,Railways,West Bengal,184.8,191.7,51,42,90.9,98.7,14,1,1,0,0,0,-5.3,3,4.6,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00475,Jharkhand Ring Road Development - Phase 2,Roads,Jharkhand,423.7,434.2,74,57,67.7,77.3,21,0,0,0,0,0,1.9,2,1.5,Under Review,Other execution delay,No Major Intervention,Not Applicable
HIST-00476,Andhra Pradesh Freight Corridor Development - Phase 3,Railways,Andhra Pradesh,69.0,72.1,45,82,100.0,94.3,11,1,0,0,0,0,0.0,1,5.3,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00477,Karnataka State Highway Upgradation - Phase 1,Roads,Karnataka,80.2,93.2,17,54,88.7,91.0,7,1,1,1,0,0,8.7,5,7.9,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00478,Uttar Pradesh Airport Cargo Complex - Phase 2,Airports,Uttar Pradesh,827.2,844.9,42,14,38.9,45.9,11,0,0,0,0,0,5.0,0,0.4,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00479,Uttar Pradesh State Highway Upgradation - Phase 1,Roads,Uttar Pradesh,241.0,248.4,15,79,100.0,100.0,4,1,1,0,0,0,2.8,0,2.2,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00480,Telangana National Highway Widening - Phase 1,Roads,Telangana,108.9,109.0,75,88,97.9,99.8,18,0,0,0,0,0,-0.4,0,1.4,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00481,Uttar Pradesh National Highway Widening - Phase 2,Roads,Uttar Pradesh,97.3,99.3,21,26,99.8,97.8,11,0,1,0,0,0,-4.7,0,3.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00482,Haryana Airport Terminal Development - Phase 3,Airports,Haryana,131.4,135.7,54,44,81.8,72.7,14,1,0,0,0,0,2.9,0,2.5,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00483,Maharashtra Runway Expansion Project - Phase 3,Airports,Maharashtra,497.3,514.0,26,17,63.0,63.3,4,0,0,0,0,0,-5.3,0,6.2,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00484,Odisha Freight Corridor Development - Phase 1,Railways,Odisha,101.5,119.4,67,72,86.0,89.7,16,2,1,0,0,0,10.0,7,13.4,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00485,Kerala Freight Corridor Development - Phase 2,Railways,Kerala,250.6,260.0,34,84,84.1,90.8,7,0,0,0,0,0,5.5,0,3.8,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00486,Andhra Pradesh Expressway Corridor - Phase 1,Roads,Andhra Pradesh,102.9,103.2,20,10,44.8,48.5,6,0,1,0,0,0,-2.2,0,0.2,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00487,Rajasthan Affordable Housing Scheme - Phase 3,Urban Development,Rajasthan,196.5,198.3,38,7,36.9,43.1,5,1,0,0,1,0,4.8,1,0.9,Under Review,No material delay,Additional Funding Approval,Successful
HIST-00488,Tamil Nadu Irrigation Canal Modernisation - Phase 3,Water Resources,Tamil Nadu,779.1,841.7,68,43,56.1,58.5,19,0,1,0,0,0,-1.7,1,8.8,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00489,Karnataka Railway Electrification Project - Phase 3,Railways,Karnataka,67.7,71.9,20,19,100.0,100.0,8,2,1,0,0,0,5.7,1,7.4,Completed with Cost Overrun,No material delay,No Major Intervention,Not Applicable
HIST-00490,Jharkhand Port Connectivity Corridor - Phase 2,Ports,Jharkhand,713.4,748.3,40,21,56.3,68.4,10,0,0,0,0,0,5.2,0,3.7,Under Review,No material delay,No Major Intervention,Not Applicable
HIST-00491,Haryana Ring Road Development - Phase 3,Roads,Haryana,103.1,103.1,56,76,100.0,98.1,15,0,0,0,0,0,-0.2,0,0.0,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00492,Kerala Runway Expansion Project - Phase 2,Airports,Kerala,322.4,338.3,44,87,92.5,100.0,11,2,0,0,0,0,8.9,0,4.0,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00493,Gujarat Thermal Power Plant Modernisation - Phase 1,Power,Gujarat,185.1,194.4,32,29,80.8,96.1,10,1,0,0,0,0,8.5,0,3.4,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00494,Tamil Nadu Sewerage Network Upgrade - Phase 3,Urban Development,Tamil Nadu,595.7,611.4,22,75,93.0,89.2,4,2,0,0,0,0,6.0,1,3.7,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00495,Bihar Thermal Power Plant Modernisation - Phase 1,Power,Bihar,517.1,540.2,63,67,100.0,99.8,18,1,0,0,0,0,-0.4,1,4.5,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00496,West Bengal National Highway Widening - Phase 2,Roads,West Bengal,203.0,235.1,31,85,100.0,99.3,8,1,1,1,1,0,-0.2,6,12.7,Delayed,Land acquisition,Land Acquisition Task Force,Partially Successful
HIST-00497,Jharkhand Affordable Housing Scheme - Phase 2,Urban Development,Jharkhand,94.3,97.6,14,25,87.6,88.3,4,2,0,0,0,0,3.6,0,2.6,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00498,Gujarat Irrigation Canal Modernisation - Phase 1,Water Resources,Gujarat,94.2,105.2,31,71,91.4,86.3,7,2,1,0,0,0,3.9,4,7.1,Delayed,Land acquisition,Land Acquisition Task Force,Successful
HIST-00499,Odisha Ring Road Development - Phase 1,Roads,Odisha,578.6,601.0,18,42,95.5,100.0,5,0,0,0,0,0,2.4,0,4.1,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00500,Karnataka Ring Road Development - Phase 1,Roads,Karnataka,163.5,174.5,53,44,90.4,93.1,12,1,0,0,0,1,1.4,1,4.8,Under Review,No material delay,Contractor Replacement,Partially Successful
HIST-00501,Odisha Metro Rail Extension - Phase 1,Railways,Odisha,226.7,233.0,41,68,100.0,100.0,11,0,0,1,0,0,-2.2,1,0.8,Completed,No material delay,Inter-Department Coordination,No Significant Improvement
HIST-00502,Rajasthan Water Supply Augmentation - Phase 1,Water Resources,Rajasthan,171.7,173.3,36,64,100.0,100.0,9,0,0,1,0,0,-1.1,1,0.0,Completed,No material delay,No Major Intervention,Not Applicable
HIST-00503,Kerala Sewerage Network Upgrade - Phase 2,Urban Development,Kerala,127.3,135.3,38,39,100.0,81.3,10,0,0,0,1,0,-0.6,0,2.1,Completed,No material delay,Additional Funding Approval,Successful
